seq,no.1,table_name,table_comments,column_name,column_comments,DATA_TYPE,position,pk_col,column_id,col_tot
65,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,position_x,경기 시작 시점의 해당 선수의 경기장 위 x좌표 (교체 명단에 있었던 경우 null),DOUBLE PRECISION,,,7,11
66,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,position_y,경기 시작 시점의 해당 선수의 경기장 위 y좌표 (교체 명단에 있었던 경우 null),DOUBLE PRECISION,,,8,11
67,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,position_name,"경기 시작 시점의 해당 선수의 포지션 (교체 명단에 있었던 경우 null) *""CF"", ""LF"", ""RF"", ""CAM"", ""LW"", ""RW"", ""CM"", ""LM"", ""RM"", ""CDM"", ""LWB"", ""RWB"", ""CB"", ""LB"", ""RB"", ""GK""",varchar(10),,,9,11
68,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,team_id,선수가 소속된 팀의 ID,integer,,,10,11
69,,matches_lineup,경기를 치른 양 팀의 라인업 정보,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,11,11
70,7,matches_formation,포메이션이 변경된 시점마다 선수들의 위치,id,고유 Id,integer,1,id,1,6
71,7,matches_formation,포메이션이 변경된 시점마다 선수들의 위치,team_id,포메이션 정보가 기록된 팀의 ID,integer,,,2,6
72,7,matches_formation,포메이션이 변경된 시점마다 선수들의 위치,event_period,"포메이션 정보가 기록된 시점의 전후반 정보 (또는 연장 전후반 정보) *""FIRST_HALF"", ""SECOND_HALF"", ""EXTRA_FIRST_HALF"", ""EXTRA_SECOND_HALF""",varchar(50),,,3,6
73,7,matches_formation,포메이션이 변경된 시점마다 선수들의 위치,changed_time,"포메이션 정보가 기록된 시점의 경기 시간 (밀리세컨드 단위)
*예: 90분 정규시간 경기
- 전반 킥오프 시점: 0
- 후반 킥오프 시점: 2700000
- 전반 추가시간의 경우 2700000보다 값이 클 수 있음. event_period와 같이 사용해야 전반 추가시간인지 후반 정규시간인지 구분 가능",integer,,,4,6
74,7,matches_formation,포메이션이 변경된 시점마다 선수들의 위치,formation,포메이션 정보,text,,,5,6
75,7,matches_formation,포메이션이 변경된 시점마다 선수들의 위치,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,6,6
76,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,event_id,이벤트의 고유 ID,integer,1,event_id,1,23
77,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,event_period,"이벤트가 입력된 시점의 전후반 정보 (또는 연장 전후반 정보)
*""FIRST_HALF"", ""SECOND_HALF"", ""EXTRA_FIRST_HALF"", ""EXTRA_SECOND_HALF""",varchar(20),,,2,23
78,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,event_time,"이벤트가 입력된 시점의 경기 시간 (밀리세컨드 단위)
*예: 90분 정규시간 경기
- 전반 킥오프 시점: 0
- 후반 킥오프 시점: 2700000
- 전반 추가시간의 경우 2700000보다 값이 클 수 있음. event_period와 같이 사용해야 전반 추가시간인지 후반 정규시간인지 구분 가능",integer,,,3,23
79,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,match_id,이벤트가 포함된 경기의 ID,integer,,,4,23
80,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,team_id,이벤트를 발생시킨 선수의 팀 ID,varchar(10),,,5,23
81,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,player_id,이벤트를 발생시킨 선수의 ID,integer,,,6,23
82,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,x,이벤트가 입력된 경기장 위 x좌표 위치,DOUBLE PRECISION,,,7,23
83,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,y,이벤트가 입력된 경기장 위 y좌표 위치,DOUBLE PRECISION,,,8,23
84,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,event_type,"이벤트 타입 (예: ""Duel"")",varchar(20),,,9,23
85,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,sub_event_type,"이벤트의 하위 타입 (하위 타입이 존재하는 경우; 예: ""Aerial"")",varchar(50),,,10,23
86,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,outcome,"이벤트의 결과 타입 (결과 타입이 존재하는 경우) *""Successful"", ""Unsuccessful""",varchar(20),,,11,23
87,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,"""CROSS""",(패스 이벤트에만 해당) 해당 패스 이벤트가 크로스인 경우 true,boolean,,,12,23
88,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,key_pass,(패스 이벤트에만 해당) 해당 패스 이벤트가 키패스인 경우 true,boolean,,,13,23
89,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,assist,(패스 이벤트에만 해당) 해당 패스 이벤트가 어시스트인 경우 true,boolean,,,14,23
90,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,body_part,"(슈팅 이벤트에만 해당) 슈팅한 선수가 사용한 신체 부위 *""Left Foot"", ""Right Foot"", ""Header"", ""Other""",varchar(20),,,15,23
91,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,relative_event_id,해당 이벤트와 연결되는 relative_event,int8,,,16,23
92,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,relative_event_time,해당 이벤트와 연결되는 이벤트 시간,int8,,,17,23
93,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,re_player_id,해당 이벤트와 연결되는  선수,in4,,,18,23
94,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,re_y,이벤트가 입력된 경기장 위 y좌표 위치,float8,,,19,23
95,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,re_x,이벤트가 입력된 경기장 위 x좌표 위치,float8,,,20,23
96,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,ball_position,슈팅 이벤트의 골대 위 y좌표 위치 (= 슈팅의 높이),text,,,21,23
97,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,xg,슈팅 이벤트의 기대득점(Expected Goal) 값 *기대득점 값을 사용하기 위해서는 “Advanced Stats” 권한이 있어야 합니다.,DOUBLE PRECISION,,,22,23
98,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,23,23
99,9_1,matches_team_stats,팀 단위 집계 데이터,team_id,팀 고유 ID,integer,1,team_id,1,66
100,9_1,matches_team_stats,팀 단위 집계 데이터,match_id,이벤트가 포함된 경기의 ID,integer,2,match_id,2,66
101,9_1,matches_team_stats,팀 단위 집계 데이터,goal,골+상대팀 자책골,integer,,,3,66
102,9_1,matches_team_stats,팀 단위 집계 데이터,total_shot,모든 슈팅(골 + 유효슈팅+ 벗어난 슈팅+ 블락된 슈팅+슛미스),integer,,,4,66
